67,64,60,57,52,118,91,142,,,,,
79,75,72,69,65,61,115,110,,,,,
78,76,74,70,60,63,136,135,,,,,
137,111,153,161,154,50,50,55,,,,,
48,46,43,41,38,36,107,122,,,,,
43,38,34,30,136,113,137,153,,,,,
78,75,71,67,63,59,,105,,,,,
80,77,72,69,65,62,110,106,,,,,
37,41,73,42,61,43,42,123,,,,,
78,74,68,114,110,98,189,164,,,,,
72,68,91,75,101,98,192,172,,,,,
66,65,133,132,166,156,66,56,,,,,
55,50,45,40,,99,,192,,,,,
52,49,47,42,,110,171,,,,,,
47,43,38,35,32,29,27,117,110,,,,
39,33,120,96,136,146,133,145,,,,,
96,94,84,89,,,166,160,,,,,
85,90,,115,120,,,,,,,,
62,61,54,53,51,46,99,109,178,,,,
79,108,90,134,178,147,85,82,79,75,,,103
54,56,140,,183,186,158,,60,56,,,150
,,,,110,117,136,76,75,,,,108
82,78,74,72,67,63,60,131,103,153,,,107
41,39,,51,,151,,150,,,,,98
68,62,55,48,43,37,120,116,154,,,,101
95,91,86,82,78,74,69,126,192,631,159,99,107
66,61,58,55,51,48,91,98,141,,,,98
72,68,62,58,52,50,149,118,186,208,180,55,93
57,52,49,46,,75,,,159,,,,92
56,48,44,,134,98,,163,,,,,96
61,57,54,49,46,43,132,104,141,153,,,101
72,69,66,110,119,166,169,152,60,55,,,104
,51,47,126,105,175,185,168,66,61,,,106
65,61,59,55,51,107,108,133,148,132,,,94
54,51,46,41,102,149,166,180,162,85,,,91
46,42,39,31,,141,156,,139,,,,91
54,50,45,41,90,97,166,177,155,81,,,92
78,75,70,66,63,105,117,142,148,,,,99
78,73,113,125,85,74,64,100,131,,,,106
78,76,74,70,60,63,136,135,155,,,,93
41,36,32,28,25,22,113,85,146,,,,93
60,113,96,136,152,133,52,48,42,42,39,34,104
81,78,75,72,68,63,59,55,52,49,,,101
86,114,,145,167,144,,71,66,62,,,108
73,68,64,60,118,97,151,177,153,,,,105
,50,,40,,40,,125,,200,,,106
71,66,62,120,94,135,40,36,,,,,101
68,65,62,59,55,51,132,99,168,192,190,63,99
,,,,,,,,,61,,,
131,121,180,188,173,61,56,52,48,43,,,103
38,35,84,114,141,143,131,51,47,44,,,98
69,65,100,116,161,191,169,90,86,82,79,72,102
128,,141,,,,72,,48,,,,108
56,53,48,45,40,126,135,,179,175,79,75,110
45,42,38,131,121,138,,137,68,63,59,56,107
51,47,43,95,,154,182,147,52,47,,,103
92,150,123,163,175,171,72,68,63,58,55,51,93
47,44,39,34,30,133,145,183,194,166,52,47,90
68,56,51,47,44,41,143,94,189,196,153,83,99
52,47,42,38,33,29,24,133,100,145,146,144,104
41,38,33,29,26,22,90,95,189,192,182,46,91
131,153,172,181,104,78,72,68,53,61,63,,93
66,61,58,54,50,46,43,99,129,133,151,135,101
147,115,186,191,162,95,91,86,81,78,,68,97
62,60,,,,,,,,,,,100
78,74,68,66,63,60,56,102,91,135,145,142,102
45,40,35,32,28,23,20,122,98,167,177,167,101
87,83,80,76,114,144,149,177,173,65,61,58,106
56,52,48,44,40,94,107,137,150,140,88,83,102
91,87,134,124,183,186,184,67,62,58,54,51,110
133,125,149,193,188,49,45,41,39,35,31,28,104
77,74,93,88,122,131,129,66,62,59,55,50,104
,,,,,,,,63,56,111,116,
61,57,54,105,134,135,141,139,45,40,36,31,108
117,115,132,99,114,74,69,64,141,82,76,138,104
53,49,97,102,156,210,,,50,47,,37,101
,,,,,,,,,,199,117,96
93,87,62,,75,71,55,61,,,59,46,97
59,55,51,47,44,41,37,83,113,133,137,134,93
82,78,74,70,67,62,60,103,94,136,140,131,92
60,56,52,49,45,40,118,133,158,207,150,63,93
43,41,38,36,121,94,156,158,126,69,65,62,104
67,63,59,105,102,174,176,154,81,78,74,70,93
60,56,53,49,45,42,101,117,128,136,131,55,110
147,128,169,205,197,78,74,70,65,61,56,50,97
86,82,79,141,84,156,160,156,41,37,32,28,108
133,95,139,172,162,59,56,49,48,45,41,38,109
66,63,59,55,51,46,42,,100,173,177,,
89,84,79,74,69,64,111,131,166,172,,68,104
62,120,144,163,161,153,86,81,68,62,69,65,91
51,46,108,99,169,170,154,48,,38,34,29,91
82,78,75,71,68,65,61,103,186,214,145,107,98
69,65,114,94,144,146,144,,54,,46,43,110
,,,,,,,,,,,,110
134,112,124,68,68,58,126,78,74,98,114,108,97
,,,,,,,,,,,,
,,,,,,,,,,,,108
,,,,,,,,,,,,108
,,,,,,,,,,,,
81,76,73,70,65,98,88,143,152,147,80,76,92
45,129,104,163,180,132,78,75,71,67,62,58,106
86,82,167,460,109,92,72,63,100,91,96,134,109
103,110,100,116,110,125,160,175,73,65,52,43,92
,,,,,,,,,,,,105
,,,,,,,,,,,,105
96,93,89,83,80,76,71,64,,,57,53,110
92,87,,146,,,,,,,,,103
69,65,60,57,52,49,44,92,130,183,194,151,110
63,58,108,100,173,191,189,60,56,53,53,46,94
94,91,86,82,77,73,68,64,60,56,52,49,103
,,,,,,,,,,,,108
,,,,,,,,,,,,
87,83,79,95,144,154,162,128,44,44,44,67,96
,,,,,,,,,,,,110
,70,,63,,,,,,179,151,79,93
,,,,,,,,,,,,96
52,47,42,37,34,31,25,149,122,157,159,151,
,,,,,,,,,,,,108
113,153,,,123,180,,,75,78,75,72,100
86,83,79,76,73,71,111,166,177,157,72,68,99
62,56,52,49,46,40,35,102,115,151,163,156,110
47,52,118,139,146,168,82,,,,,68,110
54,51,102,145,165,168,,83,79,75,71,67,97
,,,,,,,,,78,,,
,,,,,,,,,,,,
67,64,60,57,,,,,130,133,67,66,90
49,46,89,118,129,136,130,81,78,74,74,68,94
,97,,72,,55,,127,174,174,154,52,91
,97,,72,,55,,127,174,174,154,52,91
76,71,66,61,124,111,141,147,143,44,51,46,97
64,60,55,50,121,105,153,206,152,62,,56,101
91,116,129,133,123,39,36,33,29,25,21,18,92
83,73,114,62,56,32,71,76,153,117,32,28,
165,163,145,130,70,65,63,50,43,40,39,36,90
46,41,37,105,90,143,171,,,,,,110
57,52,49,46,123,99,134,135,132,55,52,49,109
,67,,58,53,49,44,,102,168,,179,104
45,42,39,86,119,145,184,142,81,77,73,70,103
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,107
48,44,40,35,30,27,22,111,134,184,213,158,93
,,,,,,,,,,,,1
39,98,101,,181,151,46,43,38,35,31,27,90
69,65,61,59,52,114,131,140,159,154,46,43,98
69,,89,58,112,136,170,,88,,,,107
,,,,,,,,,,,,
64,60,55,135,141,166,168,163,70,63,63,60,93
,104,102,58,49,45,,100,102,111,,61,90
,,,,,,,,,,,,92
71,60,55,130,136,132,105,127,134,68,65,50,137
,,,,,,,,,,,,94
,,,,,,,,,,,,
53,51,49,43,125,123,175,185,180,91,53,42,95
58,53,49,106,103,160,163,159,91,87,83,79,97
,,,,,,,,,,,,
,,,,,,,89,131,162,66,78,109
55,51,91,87,129,155,147,80,76,72,68,64,94
91,93,88,84,,89,96,98,100,107,87,84,123
55,110,101,168,,,,,,,,,99
,,,,,,,,,,,,
47,42,38,34,146,99,166,210,180,45,40,35,92
,,,,,,,,,,,,91
,,,,,,,,,,,,
,,,,,,,,,,,,
42,38,35,30,26,17,,,113,183,,,103
40,99,118,143,150,68,,,60,55,,,98
,,,,,,,,,,,,104
41,39,35,31,28,23,20,103,106,145,150,143,91
70,67,62,57,53,49,102,126,137,150,146,68,95
92,89,83,78,74,72,65,60,56,52,48,44,107
105,118,155,158,,41,37,33,,,,,94
80,76,111,141,248,171,121,65,61,52,,,90
